Capital or Revenue,Directorate,Transaction Number,Date,Service Area,Expenses Type,Amount,Supplier Name
Revenue,Economy & Environment,5105650754,31.01.2014,Planning Enforcement,Legal Fees - Other Parties,"3,000.00",2-3 GRAYS INN SQUARE CHAMBERS
Revenue,Childrens Services,5105650735,31.01.2014,Special Guardianship Order Costs,Support Children,53.37,REDACTED PERSONAL DATA
Revenue,Childrens Services,5105645893,10.01.2014,Special Guardianship Order Costs,Support Children,53.37,REDACTED PERSONAL DATA
Revenue,Childrens Services,5105645174,03.01.2014,Special Guardianship Order Costs,Support Children,53.37,REDACTED PERSONAL DATA
Revenue,Childrens Services,5105647434,17.01.2014,Special Guardianship Order Costs,Support Children,53.37,REDACTED PERSONAL DATA
Revenue,Childrens Services,5105648817,24.01.2014,Special Guardianship Order Costs,Support Children,53.37,REDACTED PERSONAL DATA
Revenue,Childrens Services,5105646571,15.01.2014,Home to School Transport,Taxis - Contract Hire,253.20,MICK'S TAXI
Revenue,Childrens Services,5105646572,15.01.2014,Home to School Transport,Taxis - Contract Hire,506.25,MICK'S TAXI
Revenue,Community Wellbeing & Social Care,5105647096,15.01.2014,Physical Disability Homecare,Charges from Independent Providers,"1,307.60",MILFORD DEL SUPPORT AGENCY
Revenue,Community Wellbeing & Social Care,5105647095,15.01.2014,Physical Disability Homecare,Charges from Independent Providers,"5,996.76",MILFORD DEL SUPPORT AGENCY
Revenue,Community Wellbeing & Social Care,5105647101,15.01.2014,Elderly Frail Homecare,Charges from Independent Providers,232.32,MILFORD DEL SUPPORT AGENCY
Revenue,Community Wellbeing & Social Care,5105647094,15.01.2014,Learning Disability Homecare,Charges from Independent Providers,"1,782.00",MILFORD DEL SUPPORT AGENCY
Revenue,Community Wellbeing & Social Care,5105647093,15.01.2014,Learning Disability Homecare,Charges from Independent Providers,"7,103.14",MILFORD DEL SUPPORT AGENCY
Revenue,Community Wellbeing & Social Care,5105647097,15.01.2014,Learning Disability Homecare,Charges from Independent Providers,"5,691.84",MILFORD DEL SUPPORT AGENCY
Revenue,Community Wellbeing & Social Care,5105647098,15.01.2014,Learning Disability Homecare,Charges from Independent Providers,728.00,MILFORD DEL SUPPORT AGENCY
Revenue,Community Wellbeing & Social Care,5105647099,15.01.2014,Learning Disability Homecare,Charges from Independent Providers,"3,978.48",MILFORD DEL SUPPORT AGENCY
Revenue,Community Wellbeing & Social Care,5105647100,15.01.2014,Learning Disability Homecare,Charges from Independent Providers,582.40,MILFORD DEL SUPPORT AGENCY
Revenue,Community Wellbeing & Social Care,5105647677,17.01.2014,Supporting People Learning Disability,Payment to Private Contractors,"2,658.42",MILFORD DEL SUPPORT AGENCY
Revenue,Childrens Services,5105650742,31.01.2014,Agency Domiciliary Care,Charges from Independent Providers,746.47,MILFORD DEL SUPPORT AGENCY
Revenue,Childrens Services,5105650742,31.01.2014,Agency Domiciliary Care,Charges from Independent Providers,601.47,MILFORD DEL SUPPORT AGENCY
Revenue,Childrens Services,5105650741,31.01.2014,Agency Domiciliary Care,Charges from Independent Providers,515.46,MILFORD DEL SUPPORT AGENCY
Revenue,Community Wellbeing & Social Care,5105647676,17.01.2014,Supporting People Older Persons,Payment to Private Contractors,"7,611.44",MILFORD DEL SUPPORT AGENCY
Revenue,Community Wellbeing & Social Care,5105647678,17.01.2014,Supporting People Learning Disability,Payment to Private Contractors,"1,440.00",MILFORD DEL SUPPORT T/A ST PATRICKS
Revenue,Economy & Environment,5105646089,10.01.2014,Medina Cafe Stock,Order Settlement,376.20,MINGHELLA (IW) LTD
Revenue,Economy & Environment,5105646121,10.01.2014,Medina Cafe Stock,Order Settlement,256.50,MINGHELLA (IW) LTD
Revenue,Economy & Environment,5105645538,08.01.2014,Medina Cafe Stock,Order Settlement,342.00,MINGHELLA (IW) LTD
Revenue,Economy & Environment,5105646628,15.01.2014,Medina Cafe Stock,Order Settlement,342.00,MINGHELLA (IW) LTD
Revenue,Childrens Services,5105647010,15.01.2014,Special Educational Needs Transport,Taxis - Contract Hire,506.25,MINIBUS-PLUS.COM/TOP TAXI
Revenue,Childrens Services,5105647077,15.01.2014,Home to School Transport,Taxis - Contract Hire,370.05,MINIBUS-PLUS.COM/TOP TAXI
Revenue,Community Wellbeing & Social Care,5105651037,31.01.2014,Personal & Community Development Learning,Stationery,392.50,MISCO COMPUTER SUPPLIES LTD
Revenue,Community Wellbeing & Social Care,5105651037,31.01.2014,Personal & Community Development Learning,Stationery,5.00,MISCO COMPUTER SUPPLIES LTD
Revenue,Community Wellbeing & Social Care,5105651037,31.01.2014,Personal & Community Development Learning,Stationery,15.83,MISCO COMPUTER SUPPLIES LTD
Revenue,Economy & Environment,5105642439,10.01.2014,Parking Attendants,Operational Equipment,45.00,MIX TELEMATICS EUROPE LTD
Revenue,Economy & Environment,5105640840,08.01.2014,Parking Attendants,Operational Equipment,15.00,MIX TELEMATICS EUROPE LTD
Revenue,Economy & Environment,5105645345,08.01.2014,Parking Attendants,Operational Equipment,45.00,MIX TELEMATICS EUROPE LTD
Revenue,Economy & Environment,5105646405,20.01.2014,Parking Attendants,Operational Equipment,45.00,MIX TELEMATICS EUROPE LTD
Revenue,Economy & Environment,5105648848,31.01.2014,Parking Attendants,Operational Equipment,15.00,MIX TELEMATICS EUROPE LTD
Revenue,Economy & Environment,5105648849,31.01.2014,Parking Attendants,Operational Equipment,45.00,MIX TELEMATICS EUROPE LTD
Revenue,Economy & Environment,5105645539,08.01.2014,Parking Attendants,Operational Equipment,15.00,MIX TELEMATICS EUROPE LTD
Revenue,Resources,5105650469,29.01.2014,Human Resources,Conference Expenses,150.00,MJH DEVELOPMENTS
Revenue,Resources,5105650469,29.01.2014,Human Resources,Conference Expenses,150.00,MJH DEVELOPMENTS
Revenue,Community Wellbeing & Social Care,5105650772,31.01.2014,Conservator Project,Heritage Acquisitions,525.00,MODES USERS ASSOCIATION
Revenue,Community Wellbeing & Social Care,5105650772,31.01.2014,Dinosaur Isle Museum (Sandown Geology),Operational Equipment,350.00,MODES USERS ASSOCIATION
Revenue,Resources,5105645296,08.01.2014,Council Tax,Agency staff,"1,536.72",MORGAN HUNT UK LTD
Capital,Economy & Environment,5105646583,15.01.2014,Coastal Capital Schemes,External Design and Supervision Fees,"6,915.00",MOTT MACDONALD
Revenue,Resources,5105647762,17.01.2014,County Hall Central Mail Room,Professional Services,"2,043.20",MOUNTJOY LTD
Revenue,Resources,5105647762,17.01.2014,County Hall Central Mail Room,Professional Services,"3,219.90",MOUNTJOY LTD
Revenue,Resources,5105647762,17.01.2014,County Hall Central Mail Room,Professional Services,400.14,MOUNTJOY LTD
Revenue,Resources,5105647036,17.01.2014,County Hall Central Mail Room,Professional Services,"4,507.86",MOUNTJOY LTD
Revenue,Resources,5105647036,17.01.2014,County Hall Central Mail Room,Professional Services,"2,656.16",MOUNTJOY LTD
Capital,Childrens Services,5105645338,08.01.2014,Leisure Facility Improvement,Payment to Contractors - Capital,"16,492.50",MOUNTJOY LTD
Revenue,Childrens Services,5105650585,31.01.2014,Adoption Costs,Support Children,168.39,REDACTED PERSONAL DATA
Revenue,Childrens Services,5105650585,31.01.2014,Adoption Costs,Support Children,116.80,REDACTED PERSONAL DATA
Revenue,Childrens Services,5105647285,17.01.2014,Adoption Costs,Support Children,168.39,REDACTED PERSONAL DATA
Revenue,Childrens Services,5105647285,17.01.2014,Adoption Costs,Support Children,116.80,REDACTED PERSONAL DATA
Revenue,Childrens Services,5105648665,24.01.2014,Adoption Costs,Support Children,168.39,REDACTED PERSONAL DATA
Revenue,Childrens Services,5105648665,24.01.2014,Adoption Costs,Support Children,116.80,REDACTED PERSONAL DATA
Revenue,Childrens Services,5105645333,08.01.2014,Adoption Costs,Support Children,233.60,REDACTED PERSONAL DATA
Revenue,Childrens Services,5105645333,08.01.2014,Adoption Costs,Support Children,336.78,REDACTED PERSONAL DATA
Revenue,Childrens Services,5105645744,10.01.2014,Adoption Costs,Support Children,168.39,REDACTED PERSONAL DATA
Revenue,Childrens Services,5105645744,10.01.2014,Adoption Costs,Support Children,116.80,REDACTED PERSONAL DATA
Revenue,Childrens Services,5105645032,03.01.2014,In-house Fostering,Boarding Out Allowances,15.00,REDACTED PERSONAL DATA
Revenue,Childrens Services,5105645032,03.01.2014,In-house Fostering,Boarding Out Allowances,130.20,REDACTED PERSONAL DATA
Revenue,Childrens Services,5105645032,03.01.2014,In-house Fostering,Boarding Out Allowances,221.13,REDACTED PERSONAL DATA
Revenue,Childrens Services,5105647293,17.01.2014,In-house Fostering,Boarding Out Allowances,15.00,REDACTED PERSONAL DATA
Revenue,Childrens Services,5105650593,31.01.2014,In-house Fostering,Boarding Out Allowances,221.13,REDACTED PERSONAL DATA
Revenue,Childrens Services,5105650593,31.01.2014,In-house Fostering,Boarding Out Allowances,130.20,REDACTED PERSONAL DATA
Revenue,Childrens Services,5105650593,31.01.2014,In-house Fostering,Boarding Out Allowances,15.00,REDACTED PERSONAL DATA
Revenue,Childrens Services,5105648673,24.01.2014,In-house Fostering,Boarding Out Allowances,221.13,REDACTED PERSONAL DATA
Revenue,Childrens Services,5105648673,24.01.2014,In-house Fostering,Boarding Out Allowances,130.20,REDACTED PERSONAL DATA
Revenue,Childrens Services,5105648673,24.01.2014,In-house Fostering,Boarding Out Allowances,15.00,REDACTED PERSONAL DATA
Revenue,Childrens Services,5105645752,10.01.2014,In-house Fostering,Boarding Out Allowances,221.13,REDACTED PERSONAL DATA
Revenue,Childrens Services,5105645752,10.01.2014,In-house Fostering,Boarding Out Allowances,130.20,REDACTED PERSONAL DATA
Revenue,Childrens Services,5105645752,10.01.2014,In-house Fostering,Boarding Out Allowances,15.00,REDACTED PERSONAL DATA
Revenue,Childrens Services,5105647293,17.01.2014,In-house Fostering,Boarding Out Allowances,221.13,REDACTED PERSONAL DATA
Revenue,Childrens Services,5105647293,17.01.2014,In-house Fostering,Boarding Out Allowances,130.20,REDACTED PERSONAL DATA
Revenue,Childrens Services,5105647278,17.01.2014,Adoption Costs,Support Children,168.39,REDACTED PERSONAL DATA
Revenue,Childrens Services,5105647278,17.01.2014,Adoption Costs,Support Children,132.69,REDACTED PERSONAL DATA
Revenue,Childrens Services,5105647278,17.01.2014,Adoption Costs,Support Children,132.69,REDACTED PERSONAL DATA
Revenue,Childrens Services,5105647278,17.01.2014,Adoption Costs,Support Children,132.69,REDACTED PERSONAL DATA
Revenue,Childrens Services,5105648658,24.01.2014,Adoption Costs,Support Children,168.39,REDACTED PERSONAL DATA
Revenue,Childrens Services,5105648658,24.01.2014,Adoption Costs,Support Children,132.69,REDACTED PERSONAL DATA
Revenue,Childrens Services,5105648658,24.01.2014,Adoption Costs,Support Children,132.69,REDACTED PERSONAL DATA
Revenue,Childrens Services,5105648658,24.01.2014,Adoption Costs,Support Children,132.69,REDACTED PERSONAL DATA
Revenue,Childrens Services,5105650578,31.01.2014,Adoption Costs,Support Children,168.39,REDACTED PERSONAL DATA
Revenue,Childrens Services,5105650578,31.01.2014,Adoption Costs,Support Children,132.69,REDACTED PERSONAL DATA
Revenue,Childrens Services,5105650578,31.01.2014,Adoption Costs,Support Children,132.69,REDACTED PERSONAL DATA
Revenue,Childrens Services,5105650578,31.01.2014,Adoption Costs,Support Children,132.69,REDACTED PERSONAL DATA
Revenue,Childrens Services,5105645326,06.01.2014,Adoption Costs,Support Children,168.39,REDACTED PERSONAL DATA
Revenue,Childrens Services,5105645326,06.01.2014,Adoption Costs,Support Children,132.69,REDACTED PERSONAL DATA
Revenue,Childrens Services,5105645326,06.01.2014,Adoption Costs,Support Children,132.69,REDACTED PERSONAL DATA
Revenue,Childrens Services,5105645326,06.01.2014,Adoption Costs,Support Children,132.69,REDACTED PERSONAL DATA
Revenue,Childrens Services,5105645737,10.01.2014,Adoption Costs,Support Children,168.39,REDACTED PERSONAL DATA
Revenue,Childrens Services,5105645737,10.01.2014,Adoption Costs,Support Children,132.69,REDACTED PERSONAL DATA
Revenue,Childrens Services,5105645737,10.01.2014,Adoption Costs,Support Children,132.69,REDACTED PERSONAL DATA
Revenue,Childrens Services,5105645737,10.01.2014,Adoption Costs,Support Children,132.69,REDACTED PERSONAL DATA
Revenue,Community Wellbeing & Social Care,5105648393,22.01.2014,Leaseholds by LA,Accommodation Costs - Leaseholder Payments,695.89,REDACTED PERSONAL DATA
Revenue,Community Wellbeing & Social Care,5105648393,22.01.2014,Leaseholds by LA,Accommodation Costs - Leaseholder Payments,695.89,REDACTED PERSONAL DATA
Revenue,Childrens Services,5105648789,24.01.2014,Children placed with Family & Friends,Boarding Out Allowances,146.09,REDACTED PERSONAL DATA
Revenue,Childrens Services,5105650707,31.01.2014,Children placed with Family & Friends,Boarding Out Allowances,146.09,REDACTED PERSONAL DATA
Revenue,Childrens Services,5105645863,10.01.2014,Children placed with Family & Friends,Boarding Out Allowances,146.09,REDACTED PERSONAL DATA
Revenue,Childrens Services,5105647406,17.01.2014,Children placed with Family & Friends,Boarding Out Allowances,146.09,REDACTED PERSONAL DATA
Revenue,Childrens Services,5105645144,03.01.2014,Children placed with Family & Friends,Boarding Out Allowances,146.09,REDACTED PERSONAL DATA
Revenue,Childrens Services,5105650660,31.01.2014,Special Guardianship Order Costs,Support Children,125.79,REDACTED PERSONAL DATA
Revenue,Childrens Services,5105645816,10.01.2014,Special Guardianship Order Costs,Support Children,125.79,REDACTED PERSONAL DATA
Revenue,Childrens Services,5105648742,24.01.2014,Special Guardianship Order Costs,Support Children,125.79,REDACTED PERSONAL DATA
Revenue,Childrens Services,5105647359,17.01.2014,Special Guardianship Order Costs,Support Children,125.79,REDACTED PERSONAL DATA
Revenue,Childrens Services,5105645097,03.01.2014,Special Guardianship Order Costs,Support Children,125.79,REDACTED PERSONAL DATA
Revenue,Childrens Services,5105645105,03.01.2014,In-house Fostering,Boarding Out Allowances,250.00,REDACTED PERSONAL DATA
Revenue,Childrens Services,5105645824,10.01.2014,In-house Fostering,Boarding Out Allowances,146.09,REDACTED PERSONAL DATA
Revenue,Childrens Services,5105645824,10.01.2014,In-house Fostering,Boarding Out Allowances,250.00,REDACTED PERSONAL DATA
Revenue,Childrens Services,5105650668,31.01.2014,In-house Fostering,Boarding Out Allowances,250.00,REDACTED PERSONAL DATA
Revenue,Childrens Services,5105650668,31.01.2014,In-house Fostering,Boarding Out Allowances,221.13,REDACTED PERSONAL DATA
Revenue,Childrens Services,5105648750,24.01.2014,In-house Fostering,Boarding Out Allowances,250.00,REDACTED PERSONAL DATA
Revenue,Childrens Services,5105648750,24.01.2014,In-house Fostering,Boarding Out Allowances,221.13,REDACTED PERSONAL DATA
Revenue,Childrens Services,5105645105,03.01.2014,In-house Fostering,Boarding Out Allowances,221.13,REDACTED PERSONAL DATA
Revenue,Childrens Services,5105650668,31.01.2014,In-house Fostering,Boarding Out Allowances,146.09,REDACTED PERSONAL DATA
Revenue,Childrens Services,5105648750,24.01.2014,In-house Fostering,Boarding Out Allowances,146.09,REDACTED PERSONAL DATA
Revenue,Childrens Services,5105647367,17.01.2014,In-house Fostering,Boarding Out Allowances,146.09,REDACTED PERSONAL DATA
Revenue,Childrens Services,5105647367,17.01.2014,In-house Fostering,Boarding Out Allowances,250.00,REDACTED PERSONAL DATA
Revenue,Childrens Services,5105647367,17.01.2014,In-house Fostering,Boarding Out Allowances,221.13,REDACTED PERSONAL DATA
Revenue,Childrens Services,5105645824,10.01.2014,In-house Fostering,Boarding Out Allowances,221.13,REDACTED PERSONAL DATA
Revenue,Childrens Services,5105645105,03.01.2014,In-house Fostering,Boarding Out Allowances,146.09,REDACTED PERSONAL DATA
Revenue,Childrens Services,5105645145,03.01.2014,Support for Looked After Children,Support Children,100.00,REDACTED PERSONAL DATA
Revenue,Childrens Services,5105650708,31.01.2014,Support for Looked After Children,Support Children,100.00,REDACTED PERSONAL DATA
Revenue,Childrens Services,5105647407,17.01.2014,Support for Looked After Children,Support Children,100.00,REDACTED PERSONAL DATA
Revenue,Childrens Services,5105645864,10.01.2014,Support for Looked After Children,Support Children,100.00,REDACTED PERSONAL DATA
Revenue,Childrens Services,5105648790,24.01.2014,Support for Looked After Children,Support Children,100.00,REDACTED PERSONAL DATA
Revenue,Childrens Services,5105645139,03.01.2014,Leaving Care Costs,Accommodation Costs - Service Users,81.73,REDACTED PERSONAL DATA
Revenue,Childrens Services,5105650702,31.01.2014,Leaving Care Costs,Accommodation Costs - Service Users,81.73,REDACTED PERSONAL DATA
Revenue,Childrens Services,5105648784,24.01.2014,Leaving Care Costs,Accommodation Costs - Service Users,81.73,REDACTED PERSONAL DATA
Revenue,Childrens Services,5105645858,10.01.2014,Leaving Care Costs,Accommodation Costs - Service Users,81.73,REDACTED PERSONAL DATA
Revenue,Childrens Services,5105647401,17.01.2014,Leaving Care Costs,Accommodation Costs - Service Users,81.73,REDACTED PERSONAL DATA
Revenue,Childrens Services,5105648792,24.01.2014,Children placed with Family & Friends,Boarding Out Allowances,130.20,REDACTED PERSONAL DATA
Revenue,Childrens Services,5105650710,31.01.2014,Children placed with Family & Friends,Boarding Out Allowances,130.20,REDACTED PERSONAL DATA
Revenue,Childrens Services,5105647409,17.01.2014,Children placed with Family & Friends,Boarding Out Allowances,130.20,REDACTED PERSONAL DATA
Revenue,Childrens Services,5105645147,03.01.2014,Children placed with Family & Friends,Boarding Out Allowances,130.20,REDACTED PERSONAL DATA
Revenue,Childrens Services,5105645866,10.01.2014,Children placed with Family & Friends,Boarding Out Allowances,130.20,REDACTED PERSONAL DATA
Revenue,Childrens Services,5105650670,31.01.2014,Special Guardianship Order Costs,Support Children,109.90,REDACTED PERSONAL DATA
Revenue,Childrens Services,5105645826,10.01.2014,Special Guardianship Order Costs,Support Children,109.90,REDACTED PERSONAL DATA
Revenue,Childrens Services,5105647369,17.01.2014,Special Guardianship Order Costs,Support Children,109.90,REDACTED PERSONAL DATA
Revenue,Childrens Services,5105645107,03.01.2014,Special Guardianship Order Costs,Support Children,109.90,REDACTED PERSONAL DATA
Revenue,Childrens Services,5105648752,24.01.2014,Special Guardianship Order Costs,Support Children,109.90,REDACTED PERSONAL DATA
Revenue,Childrens Services,5105648776,24.01.2014,Children placed with Family & Friends,Boarding Out Allowances,181.79,REDACTED PERSONAL DATA
Revenue,Childrens Services,5105645850,10.01.2014,Children placed with Family & Friends,Boarding Out Allowances,181.79,REDACTED PERSONAL DATA
Revenue,Childrens Services,5105650694,31.01.2014,Children placed with Family & Friends,Boarding Out Allowances,181.79,REDACTED PERSONAL DATA
Revenue,Childrens Services,5105647393,17.01.2014,Children placed with Family & Friends,Boarding Out Allowances,181.79,REDACTED PERSONAL DATA
Revenue,Childrens Services,5105645131,03.01.2014,Children placed with Family & Friends,Boarding Out Allowances,181.79,REDACTED PERSONAL DATA
Revenue,Community Wellbeing & Social Care,5105645007,03.01.2014,Workforce Development Schools,Catering Purchases,548.05,REDACTED PERSONAL DATA
Revenue,Community Wellbeing & Social Care,5105645007,03.01.2014,Workforce Development Schools,Catering Purchases,70.00,REDACTED PERSONAL DATA
Revenue,Community Wellbeing & Social Care,5105645401,08.01.2014,Workforce Development Schools,Catering Purchases,40.00,REDACTED PERSONAL DATA
Revenue,Community Wellbeing & Social Care,5105645401,08.01.2014,Workforce Development Schools,Catering Purchases,149.40,REDACTED PERSONAL DATA
Revenue,Community Wellbeing & Social Care,5105645007,03.01.2014,Workforce Development - Early Years,Catering Purchases,519.90,REDACTED PERSONAL DATA
Revenue,Community Wellbeing & Social Care,5105645007,03.01.2014,Workforce Development - Early Years,Catering Purchases,70.00,REDACTED PERSONAL DATA
Revenue,Community Wellbeing & Social Care,5105645401,08.01.2014,Workforce Development - Early Years,Catering Purchases,80.00,REDACTED PERSONAL DATA
Revenue,Community Wellbeing & Social Care,5105645401,08.01.2014,Workforce Development - Early Years,Catering Purchases,413.00,REDACTED PERSONAL DATA
Revenue,Childrens Services,5105644996,08.01.2014,Adoption Team,Catering Purchases,55.00,REDACTED PERSONAL DATA
Revenue,Childrens Services,5105645402,08.01.2014,In-house Fostering,Catering Purchases,160.00,REDACTED PERSONAL DATA
Revenue,Childrens Services,5105645837,10.01.2014,In-house Fostering,Boarding Out Allowances,146.09,REDACTED PERSONAL DATA
Revenue,Childrens Services,5105645837,10.01.2014,In-house Fostering,Boarding Out Allowances,130.20,REDACTED PERSONAL DATA
Revenue,Childrens Services,5105650681,31.01.2014,In-house Fostering,Boarding Out Allowances,130.20,REDACTED PERSONAL DATA
Revenue,Childrens Services,5105650681,31.01.2014,In-house Fostering,Boarding Out Allowances,92.65,REDACTED PERSONAL DATA
Revenue,Childrens Services,5105648763,24.01.2014,In-house Fostering,Boarding Out Allowances,130.20,REDACTED PERSONAL DATA
Revenue,Childrens Services,5105648763,24.01.2014,In-house Fostering,Boarding Out Allowances,100.25,REDACTED PERSONAL DATA
Revenue,Childrens Services,5105645118,03.01.2014,In-house Fostering,Boarding Out Allowances,130.20,REDACTED PERSONAL DATA
Revenue,Childrens Services,5105645118,03.01.2014,In-house Fostering,Boarding Out Allowances,146.09,REDACTED PERSONAL DATA
Revenue,Childrens Services,5105647380,17.01.2014,In-house Fostering,Boarding Out Allowances,146.09,REDACTED PERSONAL DATA
Revenue,Childrens Services,5105647380,17.01.2014,In-house Fostering,Boarding Out Allowances,130.20,REDACTED PERSONAL DATA
Revenue,Childrens Services,5105645116,03.01.2014,Support for Looked After Children,Support Children,81.81,REDACTED PERSONAL DATA
Revenue,Childrens Services,5105650679,31.01.2014,Support for Looked After Children,Support Children,81.81,REDACTED PERSONAL DATA
Revenue,Childrens Services,5105648761,24.01.2014,Support for Looked After Children,Support Children,81.81,REDACTED PERSONAL DATA
Revenue,Childrens Services,5105645835,10.01.2014,Support for Looked After Children,Support Children,81.81,REDACTED PERSONAL DATA
Revenue,Childrens Services,5105647378,17.01.2014,Support for Looked After Children,Support Children,81.81,REDACTED PERSONAL DATA
Revenue,Childrens Services,5105645768,10.01.2014,Adoption Costs,Support Children,168.39,REDACTED PERSONAL DATA
Revenue,Childrens Services,5105645768,10.01.2014,Adoption Costs,Support Children,161.49,REDACTED PERSONAL DATA
Revenue,Childrens Services,5105650609,31.01.2014,Adoption Costs,Support Children,168.39,REDACTED PERSONAL DATA
Revenue,Childrens Services,5105650609,31.01.2014,Adoption Costs,Support Children,161.49,REDACTED PERSONAL DATA
Revenue,Childrens Services,5105647309,17.01.2014,Adoption Costs,Support Children,168.39,REDACTED PERSONAL DATA
Revenue,Childrens Services,5105647309,17.01.2014,Adoption Costs,Support Children,161.49,REDACTED PERSONAL DATA
Revenue,Childrens Services,5105648689,24.01.2014,Adoption Costs,Support Children,168.39,REDACTED PERSONAL DATA
Revenue,Childrens Services,5105648689,24.01.2014,Adoption Costs,Support Children,161.49,REDACTED PERSONAL DATA
Revenue,Childrens Services,5105645048,03.01.2014,Adoption Costs,Support Children,168.39,REDACTED PERSONAL DATA
Revenue,Childrens Services,5105645048,03.01.2014,Adoption Costs,Support Children,161.49,REDACTED PERSONAL DATA
Revenue,Childrens Services,5105648791,24.01.2014,Children placed with Family & Friends,Boarding Out Allowances,130.20,REDACTED PERSONAL DATA
Revenue,Childrens Services,5105650709,31.01.2014,Children placed with Family & Friends,Boarding Out Allowances,130.20,REDACTED PERSONAL DATA
Revenue,Childrens Services,5105645146,03.01.2014,Children placed with Family & Friends,Boarding Out Allowances,130.20,REDACTED PERSONAL DATA
Revenue,Childrens Services,5105647408,17.01.2014,Children placed with Family & Friends,Boarding Out Allowances,130.20,REDACTED PERSONAL DATA
Revenue,Childrens Services,5105645865,10.01.2014,Children placed with Family & Friends,Boarding Out Allowances,130.20,REDACTED PERSONAL DATA
Revenue,Economy & Environment,5105650799,31.01.2014,Parking Attendants,Clothing & Laundry,8.96,MURRAY UNIFORMS LTD
Revenue,Economy & Environment,5105650799,31.01.2014,Parking Attendants,Clothing & Laundry,6.26,MURRAY UNIFORMS LTD
Revenue,Economy & Environment,5105650799,31.01.2014,Parking Attendants,Clothing & Laundry,34.30,MURRAY UNIFORMS LTD
Revenue,Economy & Environment,5105650799,31.01.2014,Parking Attendants,Clothing & Laundry,16.20,MURRAY UNIFORMS LTD
Revenue,Economy & Environment,5105650799,31.01.2014,Parking Attendants,Clothing & Laundry,13.72,MURRAY UNIFORMS LTD
Revenue,Economy & Environment,5105650799,31.01.2014,Parking Attendants,Clothing & Laundry,34.12,MURRAY UNIFORMS LTD
Revenue,Childrens Services,5105648024,20.01.2014,Special Educational Needs Transport,Taxis - Contract Hire,"1,600.00",MUSTI'S TAXIS
Revenue,Childrens Services,5105648025,20.01.2014,Special Educational Needs Transport,Taxis - Contract Hire,"1,520.00",MUSTI'S TAXIS
Revenue,Childrens Services,5105648026,20.01.2014,Special Educational Needs Transport,Taxis - Contract Hire,"1,200.00",MUSTI'S TAXIS
Revenue,Childrens Services,5105648044,20.01.2014,Special Educational Needs Transport,Taxis - Contract Hire,"1,600.00",MUSTI'S TAXIS
Revenue,Childrens Services,5105645621,10.01.2014,Special Educational Needs Transport,Taxis - Contract Hire,820.00,MUSTI'S TAXIS
Revenue,Childrens Services,5105645622,10.01.2014,Special Educational Needs Transport,Taxis - Contract Hire,615.00,MUSTI'S TAXIS
Revenue,Childrens Services,5105645618,10.01.2014,Special Educational Needs Transport,Taxis - Contract Hire,779.00,MUSTI'S TAXIS
Revenue,Childrens Services,5105645558,10.01.2014,Special Educational Needs Transport,Taxis - Contract Hire,820.00,MUSTI'S TAXIS
Revenue,Childrens Services,5105645126,03.01.2014,Leaving Care Costs,Support Children,120.89,REDACTED PERSONAL DATA
Revenue,Childrens Services,5105645126,03.01.2014,Leaving Care Costs,Support Children,376.00,REDACTED PERSONAL DATA
Revenue,Childrens Services,5105647388,17.01.2014,Leaving Care Costs,Support Children,120.89,REDACTED PERSONAL DATA
Revenue,Childrens Services,5105648771,24.01.2014,Leaving Care Costs,Support Children,45.00,REDACTED PERSONAL DATA
Revenue,Childrens Services,5105648771,24.01.2014,Leaving Care Costs,Support Children,376.00,REDACTED PERSONAL DATA
Revenue,Childrens Services,5105648771,24.01.2014,Leaving Care Costs,Support Children,120.89,REDACTED PERSONAL DATA
Revenue,Childrens Services,5105645126,03.01.2014,Leaving Care Costs,Support Children,45.00,REDACTED PERSONAL DATA
Revenue,Childrens Services,5105650689,31.01.2014,Leaving Care Costs,Support Children,120.89,REDACTED PERSONAL DATA
Revenue,Childrens Services,5105650689,31.01.2014,Leaving Care Costs,Support Children,376.00,REDACTED PERSONAL DATA
Revenue,Childrens Services,5105645126,03.01.2014,Leaving Care Costs,Accommodation Costs - Service Users,57.50,REDACTED PERSONAL DATA
Revenue,Childrens Services,5105650689,31.01.2014,Leaving Care Costs,Accommodation Costs - Service Users,57.50,REDACTED PERSONAL DATA
Revenue,Childrens Services,5105647388,17.01.2014,Leaving Care Costs,Accommodation Costs - Service Users,57.50,REDACTED PERSONAL DATA
Revenue,Childrens Services,5105648771,24.01.2014,Leaving Care Costs,Accommodation Costs - Service Users,57.50,REDACTED PERSONAL DATA
Revenue,Childrens Services,5105645845,10.01.2014,Leaving Care Costs,Accommodation Costs - Service Users,57.50,REDACTED PERSONAL DATA
Revenue,Childrens Services,5105650689,31.01.2014,Leaving Care Costs,Support Children,45.00,REDACTED PERSONAL DATA
Revenue,Childrens Services,5105645845,10.01.2014,Leaving Care Costs,Support Children,120.89,REDACTED PERSONAL DATA
Revenue,Childrens Services,5105645845,10.01.2014,Leaving Care Costs,Support Children,376.00,REDACTED PERSONAL DATA
Revenue,Childrens Services,5105645845,10.01.2014,Leaving Care Costs,Support Children,45.00,REDACTED PERSONAL DATA
Revenue,Childrens Services,5105647388,17.01.2014,Leaving Care Costs,Support Children,45.00,REDACTED PERSONAL DATA
